!
!Saturation level for appliances, based on Historic TV price development
!
Real Saturation(t)= [
1970,         0.174859600333065,          
1971,         0.18374098270146,           
1972,         0.200259770811307,          
1973,         0.245556161998456,          
1974,         0.237436155833173,          
1975,         0.213758345770889,          
1976,         0.214044315999592,          
1977,         0.235155806382898,          
1978,         0.241867664323486,          
1979,         0.2518740673279,            
1980,         0.267714642063831,          
1981,         0.301625718115386,          
1982,         0.329207839302915,          
1983,         0.360906185544281,          
1984,         0.392943680872188,          
1985,         0.420621281608383,          
1986,         0.425518238134102,          
1987,         0.450426547039946,          
1988,         0.474153404319183,          
1989,         0.477450443680548,          
1990,         0.509940285809343,          
1991,         0.549871232697226,          
1992,         0.575224402267671,          
1993,         0.597035666930097,          
1994,         0.630895370015431,          
1995,         0.662466070286447,          
1996,         0.688832744210056,          
1997,         0.72814556029312,           
1998,         0.804288506449444,          
1999,         0.821615040398492,          
2000,         0.827372716897456,          
2001,         0.820172590073004,          
2002,         0.829698572367986,          
2003,         0.845681543244838,          
2004,         0.868771651274856,          
2005,         0.880419126058947,          
2006,         0.889585193163411,          
2020,         1
];
